Population	SampSize	Pcrit	WeightedMean	IndAlleles	r^2	Exp(r^2)	Ne	ParametricLow	ParametricHigh	JacknifeLow	JacknifeHigh	(Eff.df)
Rangi	43	0.05	42.4	1888	0.024932	0.025345	-1613.9	527.9	  Infinite	222.7	  Infinite	509
Rangi	43	0.04	42.5	2568	0.02527	0.025247	29327.9	452.7	  Infinite	241.5	  Infinite	781
Rangi	43	0.03	42.6	3685	0.025914	0.025212	947.5	343.3	  Infinite	212.3	  Infinite	1025
Rangi	43	0.02	42.6	6063	0.025415	0.025198	3068.2	578.7	  Infinite	342.2	  Infinite	1861
Rangi	43	 No S*	42.6	6063	0.025415	0.025198	3068.2	578.7	  Infinite	342.2	  Infinite	1861
Taka	30	0.05	28.9	2030	0.039238	0.037922	467.3	158.5	  Infinite	138.1	  Infinite	1390
Taka	30	0.04	28.2	2274	0.040173	0.038748	431.6	157.7	  Infinite	139.4	  Infinite	1596
Taka	30	0.03	28.7	3420	0.038408	0.038117	2124.9	281.6	  Infinite	229.6	  Infinite	2198
Taka	30	0.02	28.1	3753	0.038914	0.038784	4754.6	314.4	  Infinite	222.2	  Infinite	1864
Taka	30	 No S*	28.7	3420	0.038408	0.038117	2124.9	281.6	  Infinite	229.6	  Infinite	2198
Suva	56	0.05	55.6	1735	0.019945	0.019007	708.2	282.8	  Infinite	198	  Infinite	638
Suva	56	0.04	55.6	2796	0.019453	0.01901	1502.4	440.4	  Infinite	320	  Infinite	1246
Suva	56	0.03	55.6	4047	0.019422	0.019004	1592.4	513	  Infinite	367	  Infinite	1676
Suva	56	0.02	55.6	5223	0.019371	0.019014	1863.6	591.4	  Infinite	480.7	  Infinite	2983
Suva	56	 No S*	55.7	10492	0.019268	0.018986	2360.1	815.9	  Infinite	599	  Infinite	4456
Mata	48	0.05	47.8	1678	0.021852	0.022297	-1500.8	596.5	  Infinite	322.8	  Infinite	695
Mata	48	0.04	47.8	2815	0.022128	0.022337	-3190.3	668	  Infinite	377.6	  Infinite	1111
Mata	48	0.03	47.8	4960	0.022297	0.022327	-21722.7	760.5	  Infinite	483.8	  Infinite	2133
Mata	48	0.02	47.8	9704	0.022252	0.022311	-11314.6	1145.3	  Infinite	894.1	  Infinite	6234
Mata	48	 No S*	47.8	9704	0.022252	0.022311	-11314.6	1145.3	  Infinite	894.1	  Infinite	6234
