Population	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	ParametricLow	ParametricHigh	JacknifeLow	JacknifeHigh	Eff.df
Taga_Taga2	         	0.04	52	913	0.020311	0.020411	-6677.3	348.1	  Infinite	239.5	  Infinite	475
Taga_Taga3	         	0.03	52	1211	0.020248	0.020411	-4111.1	426.7	  Infinite	314.4	  Infinite	721
Taga_Taga4	         	0.02	52	2346	0.020192	0.020411	-3057.6	671.3	  Infinite	383.8	  Infinite	953
Taga_Taga5	         	 No S*	52	4584	0.020286	0.020411	-5347.3	907.9	  Infinite	432.3	  Infinite	1296
Tahaa_Tahaa1    	36	0.05	36	1175	0.034301	0.030239	161.4	92.3	457.5	80.9	911.5	698
Tahaa_Tahaa2	         	0.04	36	1502	0.034832	0.030239	142.4	89.5	296.2	80	417.6	900
Tahaa_Tahaa3	         	0.03	36	1502	0.034832	0.030239	142.4	89.5	296.2	80	417.6	900
Tahaa_Tahaa4	         	0.02	36	2525	0.032537	0.030239	287.4	157.1	1156	127.8	  Infinite	1169
Tahaa_Tahaa5	         	 No S*	36	2525	0.032537	0.030239	287.4	157.1	1156	127.8	  Infinite	1169
Taka_Taka1      	30	0.05	29.7	1039	0.040009	0.037227	220	93.5	  Infinite	79	  Infinite	625
Taka_Taka2	         	0.04	29.7	1039	0.040009	0.037227	220	93.5	  Infinite	79	  Infinite	625
Taka_Taka3	         	0.03	29.8	1585	0.038172	0.037159	607.9	159.8	  Infinite	137.7	  Infinite	1098
Taka_Taka4	         	0.02	29.8	1585	0.038172	0.037159	607.9	159.8	  Infinite	137.7	  Infinite	1098
Taka_Taka5	         	 No S*	29.8	1585	0.038172	0.037159	607.9	159.8	  Infinite	137.7	  Infinite	1098
Tave_Tave1      	50	0.05	50	1076	0.023072	0.021276	368.5	169.2	  Infinite	136.5	  Infinite	549
Tave_Tave2	         	0.04	50	1603	0.022409	0.021276	585.7	238	  Infinite	199.5	  Infinite	947
Tave_Tave3	         	0.03	50	2680	0.022138	0.021276	770.9	315.2	  Infinite	277.4	  Infinite	1805
Tave_Tave4	         	0.02	50	3464	0.022223	0.021276	701.1	325.3	  Infinite	293.8	  Infinite	2443
Tave_Tave5	         	 No S*	50	3464	0.022223	0.021276	701.1	325.3	  Infinite	293.8	  Infinite	2443
