Sample, Locality
Ten_Ten48,Tenia
Ten_Ten49,Tenia
Ten_Ten50,Tenia
Ten_Ten51,Tenia
Ten_Ten52,Tenia
Tote_Tote1,Tote
Tote_Tote2,Tote
Tote_Tote3,Tote
Tote_Tote4,Tote
Tote_Tote5,Tote
Tote_Tote6,Tote
Tote_Tote7,Tote
Tote_Tote8,Tote
Tote_Tote1_370,Tote
Tote_Tote1_371,Tote
Tote_Tote1_372,Tote
Tote_Tote1_373,Tote
Tote_Tote1_374,Tote
Tote_Tote1_375,Tote
Tote_Tote1_376,Tote
Tote_Tote1_377,Tote
Tote_Tote1_378,Tote
Tote_Tote2_379,Tote
Tote_Tote2_380,Tote
Tote_Tote2_381,Tote
Tote_Tote2_382,Tote
Tote_Tote2_383,Tote
Tote_Tote2_384,Tote
Tote_Tote2_385,Tote
Tote_Tote2_386,Tote
Tote_Tote2_387,Tote
Tote_Tote2_388,Tote
Tote_Tote3_389,Tote
Tote_Tote3_390,Tote
Tote_Tote3_391,Tote
Tote_Tote3_392,Tote
Tote_Tote3_393,Tote
Tote_Tote3_394,Tote
Tote_Tote3_395,Tote
Tote_Tote3_396,Tote
Tote_Tote3_397,Tote
Tote_Tote3_398,Tote
Tote_Tote4_399,Tote
Tote_Tote4_400,Tote
Tote_Tote4_401,Tote
Tote_Tote4_402,Tote
Tote_Tote4_403,Tote
Tote_Tote4_404,Tote
Tote_Tote4_405,Tote
Tote_Tote4_406,Tote
Tote_Tote4_407,Tote
Tote_Tote4_408,Tote
Tote_Tote5_409,Tote
Tote_Tote5_410,Tote
Tote_Tote5_411,Tote
Tote_Tote5_412,Tote
Tote_Tote5_413,Tote
Tote_Tote5_414,Tote
Taga_Taga1,Tagage
Taga_Taga2,Tagage
Taga_Taga3,Tagage
Taga_Taga4,Tagage
Taga_Taga5,Tagage
Taga_Taga6,Tagage
Taga_Taga7,Tagage
Taga_Taga8,Tagage
Taga_Taga9,Tagage
Taga_Taga1_10,Tagage
Taga_Taga1_11,Tagage
Taga_Taga1_12,Tagage
Taga_Taga1_13,Tagage
Taga_Taga1_14,Tagage
Taga_Taga1_15,Tagage
Taga_Taga1_16,Tagage
Taga_Taga1_17,Tagage
Taga_Taga1_18,Tagage
Taga_Taga1_19,Tagage
Taga_Taga2_20,Tagage
Taga_Taga2_21,Tagage
Taga_Taga2_22,Tagage
Taga_Taga2_23,Tagage
Taga_Taga2_24,Tagage
Taga_Taga2_25,Tagage
Taga_Taga2_26,Tagage
Taga_Taga2_27,Tagage
Taga_Taga2_28,Tagage
Taga_Taga2_29,Tagage
Taga_Taga3_30,Tagage
Taga_Taga3_31,Tagage
Taga_Taga3_32,Tagage
Taga_Taga3_33,Tagage
Taga_Taga3_34,Tagage
Taga_Taga3_35,Tagage
Taga_Taga3_36,Tagage
Taga_Taga3_37,Tagage
Taga_Taga3_38,Tagage
Taga_Taga3_39,Tagage
Taga_Taga4_40,Tagage
Taga_Taga4_41,Tagage
Taga_Taga4_42,Tagage
Taga_Taga4_43,Tagage
Taga_Taga4_44,Tagage
Taga_Taga4_45,Tagage
Taga_Taga4_46,Tagage
Taga_Taga4_47,Tagage
Taga_Taga4_48,Tagage
Taga_Taga4_49,Tagage
Taga_Taga5_50,Tagage
Taga_Taga5_51,Tagage
Taga_Taga5_52,Tagage
Mata_Mata1,Matacawalevu
Mata_Mata2,Matacawalevu
Mata_Mata3,Matacawalevu
Mata_Mata4,Matacawalevu
Mata_Mata5,Matacawalevu
Mata_Mata6,Matacawalevu
Mata_Mata7,Matacawalevu
Mata_Mata8,Matacawalevu
Mata_Mata9,Matacawalevu
Mata_Mata1_62,Matacawalevu
Mata_Mata1_63,Matacawalevu
Mata_Mata1_64,Matacawalevu
Mata_Mata1_65,Matacawalevu
Mata_Mata1_66,Matacawalevu
Mata_Mata1_67,Matacawalevu
Mata_Mata1_68,Matacawalevu
Mata_Mata1_69,Matacawalevu
Mata_Mata1_70,Matacawalevu
Mata_Mata1_71,Matacawalevu
Mata_Mata2_72,Matacawalevu
Mata_Mata2_73,Matacawalevu
Mata_Mata2_74,Matacawalevu
Mata_Mata2_75,Matacawalevu
Mata_Mata2_76,Matacawalevu
Mata_Mata2_77,Matacawalevu
Mata_Mata2_78,Matacawalevu
Mata_Mata2_79,Matacawalevu
Mata_Mata2_80,Matacawalevu
Mata_Mata3_81,Matacawalevu
Mata_Mata3_82,Matacawalevu
Mata_Mata3_83,Matacawalevu
Mata_Mata3_84,Matacawalevu
Mata_Mata3_85,Matacawalevu
Mata_Mata3_86,Matacawalevu
Mata_Mata3_87,Matacawalevu
Mata_Mata3_88,Matacawalevu
Mata_Mata3_89,Matacawalevu
Mata_Mata4_90,Matacawalevu
Mata_Mata4_91,Matacawalevu
Mata_Mata4_92,Matacawalevu
Mata_Mata4_93,Matacawalevu
Mata_Mata4_94,Matacawalevu
Mata_Mata4_95,Matacawalevu
Mata_Mata4_96,Matacawalevu
Mata_Mata4_97,Matacawalevu
Mata_Mata4_98,Matacawalevu
